club,id,createdAt,favorites,retweets,text
Taylor Swift,1459305182790041600,2021-11-12 23:40:42+00:00,271610,48023,Any time now…. (20 minutes til the all too well short film premiere!!!!) #alltoowelltheshortfilm 🧣  https://t.co/YzOtPK5Hzd
Taylor Swift,1459041713209630728,2021-11-12 06:13:46+00:00,496435,68268,I AM ALL TOO UNWELL 🥲 https://t.co/d9jArYsTSs
Taylor Swift,1459023801480474632,2021-11-12 05:02:36+00:00,821865,205125,"It never would have been possible to go back &amp; remake my previous work, uncovering lost art &amp; forgotten gems along the way if you hadn’t emboldened me. Red is about to be mine again, but it has always been ours. Now we begin again. Red (my version) is out  https://t.co/ZUAWDuv4jL https://t.co/Ji26KdOlWQ"
Taylor Swift,1458876078525759491,2021-11-11 19:15:36+00:00,642475,134839,This is my last day of life before #RedTaylorsVersion. Midnight. Tonight. https://t.co/Mgzlx3Qg3z
Taylor Swift,1458791263193477120,2021-11-11 13:38:34+00:00,496328,107661,"Shot on 35mm film with cinematography by the brilliant @the_rinayang. Plan your watch parties or grab your blanket and curl up into a ball. However you want to watch All Too Well The Short Film, it’ll be out tomorrow on YouTube at 7pm Eastern. 🥲   https://t.co/YzOtPK5Hzd https://t.co/SWAlziJ6bC"
Taylor Swift,1456604921898360843,2021-11-05 12:50:50+00:00,591642,141612,November 12. Remember it.   @SadieSink  @dylanobrien https://t.co/fTAd8dItX0
Taylor Swift,1454961583508033542,2021-11-01 00:00:48+00:00,490425,71626,"can’t talk right now, I’m doin hot squirrel shit 🐿  #halloween2021  #HalloweenTaylorsVersion https://t.co/N6asoXfGlB"
Taylor Swift,1448329324365484032,2021-10-13 16:46:34+00:00,213740,22712,"Darling, let’s run ♥️♥️♥️♥️ https://t.co/adVpsOaAC7"
Taylor Swift,1443619878062235650,2021-09-30 16:52:54+00:00,395504,71230,Got some news that I think you’re gonna like - My version of Red will be out a week earlier than scheduled (including the 4 disc vinyl) on November 12th ! Can’t wait to celebrate the 13th with you and our new/old autumn heartbreak album🧣😍 🎥 🎥  https://t.co/FVp6xizaOG
Taylor Swift,1440046696394682375,2021-09-20 20:14:21+00:00,244832,26879,"It’s true, I signed them all and it’s also true that I may never write the same again, as my hand is now frozen in the permanent shape of a claw. All for you 😘 https://t.co/mnSkHyNCy6"
