club,id,createdAt,favorites,retweets,text
Narendra Modi,1598704262371889154,2022-12-02 15:42:53+00:00,9561,2557,"During Congress rule, there was rampant corruption and mismanagement on urea. We changed this. https://t.co/Sl27uXsPzk"
Narendra Modi,1598704187495223296,2022-12-02 15:42:35+00:00,7202,2077,The @BJP4Gujarat Government has solved people’s problems and empowered our citizens. https://t.co/uP1fKoxCBA
Narendra Modi,1598704108449341440,2022-12-02 15:42:16+00:00,7990,2362,Blots of Congress include:  Denying water to Gujarat for decades.  Stalling Sardar Sarovar project.  Closely associating with those who did not want Narmada Dam. https://t.co/LAPfGDQl3p
Narendra Modi,1598681058756599808,2022-12-02 14:10:41+00:00,11096,3010,Lively atmosphere in Ahmedabad. The mood is overwhelmingly in favour of BJP across Gujarat. https://t.co/SD4kPy1ltg
Narendra Modi,1598635787100164096,2022-12-02 11:10:47+00:00,41365,7148,Have you come across breathtaking images from the recently launched EOS-06 satellite? Sharing some beautiful images of Gujarat. These advances in the world of space technology will help us to better predict cyclones and promote our coastal economy too. @isro https://t.co/JD6eu7JzOK
Narendra Modi,1598623288657600512,2022-12-02 10:21:07+00:00,8289,2543,Speaking at a rally in Sojitra. People of Gujarat have seen the pioneering work of @BJP4Gujarat. https://t.co/DUST3syM2P
Narendra Modi,1598596477751767042,2022-12-02 08:34:35+00:00,10159,2886,Coming to Patan is always special. Addressing a massive rally. Watch. https://t.co/V4QJZoEOhS
Narendra Modi,1598574423698612226,2022-12-02 07:06:57+00:00,8909,2733,The energy and dynamism in Kankrej is phenomenal. Speaking at a @BJP4Gujarat rally. https://t.co/1cXkHJYwOt
Narendra Modi,1598539394654560258,2022-12-02 04:47:45+00:00,37562,7425,Yesterday was special.   Words cannot describe the love and affection I received from people.  Sharing highlights from Ahmedabad. https://t.co/87Vtgbloa4
Narendra Modi,1598516141827428352,2022-12-02 03:15:21+00:00,22438,4525,भारतीय जनता पार्टी के राष्ट्रीय अध्यक्ष जेपी नड्डा जी को जन्मदिन की ढेरों शुभकामनाएं। उन्होंने अपनी नेतृत्व क्षमता से भाजपा में नया जोश और नई ऊर्जा भरने का काम किया है।ईश्वर उन्हें दीर्घायु और आरोग्यपूर्ण जीवन प्रदान करे। @JPNadda
Narendra Modi,1598366964514230287,2022-12-01 17:22:35+00:00,51903,7549,Thank you Ahmedabad! https://t.co/0mmFZBrnCY
Narendra Modi,1598365381676220419,2022-12-01 17:16:17+00:00,13597,3277,ધન્યવાદ અમદાવાદ…..!!   આપના અપાર સ્નેહ અને ઉત્સાહથી હું અભિભૂત થયો છું. આ પ્રચંડ જન સમર્થન અમને લોકકલ્યાણ અર્થે વધુ પરિશ્રમ કરવા માટે પ્રેરણા આપે છે.   ખૂબ ખૂબ આભાર…!! https://t.co/wrUr4gBntE
Narendra Modi,1598272705911959552,2022-12-01 11:08:02+00:00,7550,2452,"આ દેશને આત્મનિર્ભર બનાવવાની દિશામાં આપણે  “વન ડિસ્ટ્રીક્ટ - વન પ્રોડક્ટ” અભિયાન શરૂ કર્યું છે જે અંતર્ગત આપણા ગુજરાતના કૌશલ્ય, હસ્તશિલ્પ અને કુટિર ઉદ્યોગને વૈશ્વિક ફલક પર પ્રોત્સાહન મળે તેવા પ્રામાણિક પ્રયત્ન થઈ રહ્યા છે. https://t.co/zD4js7iXRe"
Narendra Modi,1598272613242966016,2022-12-01 11:07:40+00:00,7091,2372,"ભાજપ સરકારે સર્વસ્પર્શી અને સર્વસમાવેશી વહીવટી નીતિ અખત્યાર કરી છે. અંબાજી થી ઉમરગામ સુધીના આદિવાસી પટ્ટામાં છેલ્લા બે દાયકામાં શિક્ષણ, આરોગ્ય, રમતગમત તથા રોજગાર ક્ષેત્રના વિકાસ માટે પ્રમાણભૂત પ્રયાસો કર્યા છે….. https://t.co/adXJYsW4HJ"
Narendra Modi,1598272512722227200,2022-12-01 11:07:16+00:00,7489,2439,"કોંગ્રેસ પક્ષના નેતાઓએ હંમેશાં આપણી શ્રદ્ધા, આસ્થા અને જનભાવનાને ગંભીર રીતે આહત કરી છે….. https://t.co/DVyW3jdY1j"
Narendra Modi,1598272411014557696,2022-12-01 11:06:51+00:00,5767,2080,"ભાજપ સરકારે “આત્મનિર્ભર ભારત” અભિયાનના માધ્યમથી આ દેશને પગભર બનાવવાનો સંકલ્પ લીધો છે જેના કારણે આપણા આ કાલોલ, હાલોલ, દાહોદ, ગોધરા અને વડોદરા પંથકનો અભૂતપૂર્વ વિકાસ થશે. https://t.co/SzqUUb3Dul"
Narendra Modi,1598252424036200449,2022-12-01 09:47:26+00:00,8663,2751,Himmatnagar shares a strong bond with BJP. Support from people is at an all-time high! @BJP4Gujarat. https://t.co/l0wxtpT4Lr
Narendra Modi,1598218829124943873,2022-12-01 07:33:56+00:00,9016,2790,Wonderful to be in Chhota Udepur. Amazing energy at the @BJP4Gujarat rally. https://t.co/JDBMsVJZ3i
Narendra Modi,1598210785599266816,2022-12-01 07:01:59+00:00,10271,2710,I pay my tributes to HH Pramukh Swami Maharaj Ji on his Jayanti. I consider myself blessed that I got the opportunity to interact with him on multiple occasions and also got a lot of affection from him. He is globally admired for his pioneering service to society. https://t.co/BvaO4pSr90
Narendra Modi,1598191761809018881,2022-12-01 05:46:23+00:00,8363,2793,Grateful for the immense support in Kalol. Addressing a rally. @BJP4Gujarat. https://t.co/odOlF9z74O
Narendra Modi,1598162324342583296,2022-12-01 03:49:25+00:00,28239,6507,"Today, as India begins its G-20 Presidency, penned a few thoughts on how we want to work in the coming year based on an inclusive, ambitious, action-oriented, and decisive agenda to further global good. #G20India @JoeBiden @planalto https://t.co/cB8bBRD80D"
Narendra Modi,1598135267868962816,2022-12-01 02:01:54+00:00,15172,3106,"Best wishes to the people of Nagaland on their Statehood Day. India takes great pride in the culture of Nagaland, which emphasises on courage, hardwork and living in harmony with nature. I pray for the continuous success of Nagaland in the years to come."
Narendra Modi,1598134361307910144,2022-12-01 01:58:18+00:00,20105,4134,Raising Day greetings to all @BSF_India personnel and their families. This is a force with an outstanding track record of protecting India and serving our nation with utmost diligence. I also appreciate the noble work of BSF during challenging situations like natural disasters. https://t.co/qdFCLrfZGl
Narendra Modi,1598133746200612867,2022-12-01 01:55:51+00:00,36584,6297,"Today is the first phase of the Gujarat elections. I call upon all those voting today, particularly first time voters to exercise their franchise in record numbers."
Narendra Modi,1598133576234840065,2022-12-01 01:55:11+00:00,10412,2666,"આજે ગુજરાત વિધાનસભાની ચૂંટણી માટે પ્રથમ તબક્કાનું મતદાન યોજાઈ રહ્યું છે. હું તમામ મતદાતાઓને, ખાસ કરીને પ્રથમ વખત મતાધિકારનો ઉપયોગ કરનાર યુવાનોને, વિક્રમજનક સંખ્યામાં મતદાન કરવા માટે આહ્વાન કરું છું."
Narendra Modi,1597920522993422336,2022-11-30 11:48:35+00:00,11716,3166,Manipur is known for its vibrant culture. Best wishes on the occasion of Sangai Festival. https://t.co/OUwyw8T0hR
Narendra Modi,1597892924465123328,2022-11-30 09:58:55+00:00,8387,2675,"I call upon all #ExamWarriors, their parents and teachers to take part in these interesting activities relating to Pariksha Pe Charcha 2023. Let us collectively work towards creating a stress free environment for our students. #PPC2023 https://t.co/ovubThyvP1"
Narendra Modi,1597892646944780288,2022-11-30 09:57:49+00:00,7605,2186,A very encouraging trend. Happy to see this change. Our emphasis on furthering all aspects relating to women empowerment remains very strong. https://t.co/Z4yOBLMd9N
Narendra Modi,1597892443172909056,2022-11-30 09:57:00+00:00,17265,3010,"Looks great! And, with the new airport and flights being added, more people will be able to visit Arunachal Pradesh with ease and experience the warm hospitality there. https://t.co/tcfpk4ghos"
Narendra Modi,1597606912883044354,2022-11-29 15:02:24+00:00,11180,2922,Excellent news! @GeM_India is a game changer when it comes to showcasing India’s entrepreneurial zeal and furthering transparency. I laud all those who are displaying their products on this platform and urge others to do the same. https://t.co/O2gioaxxrL
Narendra Modi,1597565503274295297,2022-11-29 12:17:51+00:00,13215,2872,India continues to make strides in the world of manufacturing. https://t.co/PfojPFYzz0
Narendra Modi,1597565176131489793,2022-11-29 12:16:33+00:00,12859,3697,We covered diverse topics during this month’s #MannKiBaat including several community efforts. Do take part in the MKB Quiz on the NaMo App. https://t.co/BkB1Qcx6iP
Narendra Modi,1597255975848640512,2022-11-28 15:47:54+00:00,22502,4859,"The rallies in Jamnagar and Rajkot witnessed record participation from first time voters. Talked about the steps taken to boost ‘Ease of Living’, improve the water situation in Saurashtra, efforts for MSMEs and more. https://t.co/QXkfk56juh"
Narendra Modi,1597254617032974336,2022-11-28 15:42:30+00:00,8490,2710,વિકસિત ગુજરાત અને વિકસિત ગુજરાત થકી વિકસિત ભારતનું સ્વપ્ન સાકાર કરવા માટે મને યુવા પેઢીના સામર્થ્ય પર ભરોસો છે…. https://t.co/9r8wb6ch0O
Narendra Modi,1597241154340196352,2022-11-28 14:49:01+00:00,9602,3113,Ecstatic mood in Rajkot. @BJP4Gujarat is people's obvious choice. https://t.co/nm0BLlSJS0
Narendra Modi,1597212491016155138,2022-11-28 12:55:07+00:00,10258,3182,Addressing a mega rally in Jamnagar. Immense fervour! @BJP4Gujarat https://t.co/zscamLFRKw
Narendra Modi,1597201942333165568,2022-11-28 12:13:12+00:00,13664,3798,"The atmosphere at the rallies in Palitana and Anjar was euphoric. Spoke about @BJP4Gujarat’s track record in sectors such as Jal Shakti, energy, boosting industrial growth and tourism. https://t.co/ywcpSoDkju"
Narendra Modi,1597200594707496963,2022-11-28 12:07:50+00:00,6236,2388,જયારે ગુજરાતમાં એક ભયાનક ભૂકંપ આવ્યો હતો ત્યારે કેટલાક લોકો કહેતા હતા કે આ રાજય ફરી ક્યારેય બેઠું નહીં થાય પરંતુ આ રાજ્યની ખમીરવંતી પ્રજાના પુરુષાર્થે તેઓની માન્યતાને ખોટી પાડી અને ગુજરાત ફિનિક્સ પંખીની માફક રાખમાંથી ઊભું થયું…. https://t.co/RnnbdVJwLK
Narendra Modi,1597200452965146624,2022-11-28 12:07:17+00:00,8480,2736,ભાજપ સરકારે ગુજરાતમાં પ્રવાસન ઉદ્યોગને ખૂબ પ્રોત્સાહન આપ્યું છે જેના આજે સુખદ પરિણામો મળી રહ્યા છે… https://t.co/wUu4oxg03O
Narendra Modi,1597200309524213760,2022-11-28 12:06:42+00:00,5913,2195,ભાગલા પાડો અને રાજ કરો એ કોંગ્રેસની વર્ષોની રાજનીતિ રહી છે જેના કારણે સમાજને ખૂબ મોટું નુકસાન થયું છે. https://t.co/deGQNuTvvE
Narendra Modi,1597177238113628160,2022-11-28 10:35:02+00:00,9042,2991,Touched by the affection in Anjar. Addressing a huge @BJP4Gujarat rally. Do watch. https://t.co/YTk1GaIRJu
Narendra Modi,1597142027879452673,2022-11-28 08:15:07+00:00,8720,2974,Outstanding rally in Palitana is an indication of the resounding support for @BJP4Gujarat among all sections of society. https://t.co/z2zZ07EjaC
Narendra Modi,1597093644175122434,2022-11-28 05:02:51+00:00,17978,4287,ધન્યવાદ સુરત…..!!   હું આપના અપાર સ્નેહ બદલ કૃતજ્ઞ છું.  ગઈકાલની કેટલીક યાદગાર ક્ષણો…… https://t.co/6bs4RxmVEP
Narendra Modi,1597093516697817088,2022-11-28 05:02:21+00:00,6338,1738,காசி தமிழ் சங்கமத்தில் உங்களுக்கு ஒரு மறக்க முடியாத அனுபவம் கிடைத்ததில் மகிழ்ச்சியடைகிறேன். https://t.co/H80Mp4x60f
Narendra Modi,1597093402939895809,2022-11-28 05:01:54+00:00,5421,1347,"ਸ੍ਰੀ ਗੁਰੂ ਤੇਗ਼ ਬਹਾਦਰ ਜੀ ਦੇ ਸ਼ਹੀਦੀ ਦਿਹਾੜੇ 'ਤੇ ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਸ਼ਰਧਾਂਜਲੀ ਅਰਪਿਤ ਕਰਦਾ ਹਾਂ। ਉਨ੍ਹਾਂ ਦੇ ਸਾਹਸ, ਸਿਧਾਂਤਾਂ ਅਤੇ ਆਦਰਸ਼ਾਂ ਪ੍ਰਤੀ ਅਟੁੱਟ ਪ੍ਰਤੀਬੱਧਤਾ ਲਈ ਉਨ੍ਹਾਂ ਨੂੰ ਵਿਆਪਕ ਤੌਰ 'ਤੇ ਸਰਾਹਿਆ ਜਾਂਦਾ ਹੈ। ਉਹ ਜ਼ੁਲਮ ਅਤੇ ਅਨਿਆਂ ਦੇ ਅੱਗੇ ਨਹੀਂ ਝੁਕੇ। ਉਨ੍ਹਾਂ ਦੀਆਂ ਸਿੱਖਿਆਵਾਂ ਸਾਨੂੰ ਪ੍ਰੇਰਿਤ ਕਰਦੀਆਂ ਹਨ।"
Narendra Modi,1597093353795252224,2022-11-28 05:01:42+00:00,18592,3698,I pay homage to Sri Guru Teg Bahadur Ji on the day of his martyrdom. He is universally admired for his courage and unwavering commitment to his principles as well as ideals. He refused to bow to tyranny and injustice. His teachings continue to motivate us.
Narendra Modi,1597078146071003137,2022-11-28 04:01:16+00:00,37214,7276,An unforgettable evening in Surat! Here are highlights from yesterday. BJP is the people’s preferred choice due to our development agenda. https://t.co/CPYTby5j6F
Narendra Modi,1597077185319534592,2022-11-28 03:57:27+00:00,10518,2849,Glad you had a memorable experience at the Kashi Tamil Sangamam. https://t.co/H80Mp4x60f
Narendra Modi,1597076565556629510,2022-11-28 03:55:00+00:00,5839,1914,This is particularly gladdening. A vibrant dairy sector is also a great way to further strengthen our Nari Shakti. May the dairy sector grow even more in the coming times. https://t.co/VbaG1O8odK
Narendra Modi,1597076161540263936,2022-11-28 03:53:23+00:00,14499,3312,Do share your insights… https://t.co/wNMfQyxxtQ
Narendra Modi,1596913260816519170,2022-11-27 17:06:05+00:00,14457,4245,"कांग्रेस आतंकवाद को वोटबैंक की नजर से देखती है, तुष्टिकरण की दृष्टि से देखती है। इससे देश को बहुत सतर्क रहने की जरूरत है। https://t.co/tnIOAmSQd6"
Narendra Modi,1596912830674272256,2022-11-27 17:04:22+00:00,51287,7496,Thank you Surat! https://t.co/Y3dxPR8Fin
Narendra Modi,1596911869679513603,2022-11-27 17:00:33+00:00,21535,4220,I bow to the people of Surat. This affection is unparalleled and it strengthens my resolve to serve the people even more. https://t.co/P6ryKtsHMD
Narendra Modi,1596888005045669889,2022-11-27 15:25:43+00:00,11722,3301,Being in Surat is energising as always! Grateful for the immense support. @BJP4Gujarat https://t.co/w4Qk2GvkGb
Narendra Modi,1596862469364142080,2022-11-27 13:44:15+00:00,21672,4636,Glimpses from today’s excellent public meetings in Netrang and Kheda.   Will be addressing a rally in Surat in a short while. https://t.co/3YZOF4zRey
Narendra Modi,1596861337635733504,2022-11-27 13:39:45+00:00,8298,2583,અમે તમારા પર ભરોસો કરીએ અને તમે ભાજપ પર ભરોસો કરો….. https://t.co/t8oSve1jwX
Narendra Modi,1596861210623762432,2022-11-27 13:39:15+00:00,6052,2147,મારે “ડીજીટલ લીટરસી” ના માધ્યમથી આ દેશના તમામ વ્યક્તિઓનું સશક્તિકરણ કરવું છે. ભારતમાં અન્ય વિકસિત દેશોની સરખામણીમાં ખૂબ જ સસ્તા દરે ઈન્ટરનેટ ડેટાની સુવિધા ઉપલબ્ધ છે….. https://t.co/SGgJwxprbN
Narendra Modi,1596828788523794433,2022-11-27 11:30:25+00:00,8749,2709,Speaking at a @BJP4Gujarat rally in Kheda. Great support for the BJP! https://t.co/HiRPeht3z3
Narendra Modi,1596800516494970880,2022-11-27 09:38:04+00:00,8724,2766,Netrang is brimming with enthusiasm. Addressing a huge @BJP4Gujarat rally. https://t.co/nMmb0zb6xb
Narendra Modi,1596784528584237057,2022-11-27 08:34:33+00:00,5311,1667,"Κατά τη διάρκεια του #MannKiBaat ραδιοφωνικού μου προγράμματος επαινέ θηκε ο κύριος Κωνσταντίνος Καλαιτζής, ο οποίος είναι Έλληνας και έχει πάθος με την Ινδική κουλτούρα και μουσική. https://t.co/UKevxrx0sW"
Narendra Modi,1596784411571544065,2022-11-27 08:34:05+00:00,7877,2840,विद्या के दान और शिक्षा का प्रकाश फैलाने से बड़ी समाज सेवा क्या हो सकती है। उत्तर प्रदेश और झारखंड में इस तरह के दो अनूठे प्रयास देशभर के लिए मिसाल बने हैं। मैं इस सराहनीय कार्य में जुटे युवाओं को हृदय से बधाई देता हूं। https://t.co/XSZR8vo9cM
Narendra Modi,1596784318856433666,2022-11-27 08:33:43+00:00,8580,2827,अनुवांशिक बीमारी Muscular Dystrophy में मरीजों के उपचार और देखभाल के लिए बड़े सेवा-भाव की जरूरत होती है। हिमाचल प्रदेश में सोलन का ‘मानव मंदिर’ अपने नाम के अनुरूप ही ऐसे मरीजों के लिए उम्मीद की नई किरण बना है। https://t.co/UiIZ5ZjFXo
Narendra Modi,1596784143920005122,2022-11-27 08:33:01+00:00,4646,1464,తెలంగాణ నుంచి ఒక ప్రత్యేకమైన బహుమతిని పంపిన హరిప్రసాద్ గారికి ధన్యవాదాలు. నేటి #MannKiBaat కార్యక్రమంలో దీని గురించి మీతో పంచుకుంటాను. https://t.co/L77lrAYUHE
Narendra Modi,1596763084332232708,2022-11-27 07:09:20+00:00,10149,2612,મારી શાળાના શિક્ષક રાસબિહારી મણિયારના અવસાનના સમાચાર સાંભળી ખૂબ જ વ્યથિત છું.   મારા ઘડતરમાં તેમનો અમૂલ્ય ફાળો છે. હું જીવનના આ પડાવ સુધી તેમની સાથે જોડાયેલો રહ્યો અને એક વિદ્યાર્થી હોવાના નાતે મને સંતોષ છે કે જીવનભર મને તેમનું માર્ગદર્શન મળતું રહ્યું. https://t.co/QmlJE9o07E
Narendra Modi,1596759412311474176,2022-11-27 06:54:44+00:00,6297,2503,"During today’s #MannKiBaat, spoke about the following aspects of Indian music:   Rise in exports of musical instruments.   India’s rich musical history.  Popularity of Indian music and culture in Greece, Guyana and Fiji. https://t.co/4nAyUfIiWz"
